name,caption
3518414543.jpg,A woman and a child are looking at a large rock.
2662840398.jpg,A man in a hat is pushing a cart down a dirt road.
3332883133.jpg,A man in a gray shirt is standing in front of a chalkboard.
3518608016.jpg,A woman is playing with a dog.
2423900639.jpg,A group of people are standing in a room with a man in a red shirt and a woman in a white shirt.
4122709463.jpg,A man in a white shirt and blue jeans is selling fruit at a market.
252504549.jpg,A small dog is playing with a tennis ball on the beach.
184855171.jpg,A man in a hat is sitting on a dock and looking at a fishing pole.
970641406.jpg,A group of people are standing on a balcony.
6895479523.jpg,A man is sweeping the floor in a museum.
4822527778.jpg,Two women are walking down the street.
1806088665.jpg,A young boy in a striped shirt is playing on a yellow toy.
6681702307.jpg,A woman with a red jacket is painting a picture of a picture of a woman.
4801520208.jpg,A man is sitting on a stool in a dark room.
3201910861.jpg,Two men are sitting at a table with a laptop.
4784357673.jpg,A woman and a young boy are sitting on a couch.
21166859.jpg,A band is performing on stage.
3328204532.jpg,A group of asian people are standing in front of a red building.
7671490798.jpg,Three men are playing a game of field hockey.
5291335711.jpg,A young boy wearing goggles is playing with a toy.
2799938764.jpg,A group of people are waving flags.
380752558.jpg,A woman in a pink coat holds a baby in a pink coat.
2607130765.jpg,A group of young boys playing soccer.
2323096887.jpg,A surfer rides a wave.
5196768578.jpg,A little girl in a pink coat is playing in the snow.
2052702658.jpg,A child in a red coat is holding a snowball in the snow.
3384528359.jpg,A large bird is flying over water.
3622752371.jpg,Two boys are climbing a rock.
2482097485.jpg,A group of men and women are running in a race.
75902252.jpg,Two men drinking beer and drinking beer.
6324955861.jpg,A man in a blue shirt is talking to a woman in a red shirt.
2296139788.jpg,A woman in a colorful dress is sitting in a blue car.
218553496.jpg,A group of people in red shirts are playing instruments in a park.
51146227.jpg,A woman in a red tank top is sitting in the grass with a small child in a red tank top.
241347496.jpg,A football player in a red jersey is running with the ball.
244526389.jpg,A group of people are walking down a street.
4552239407.jpg,A man and a woman are standing in a park with bicycles.
3621988827.jpg,A man in a blue shirt is sitting in a bus.
4829533753.jpg,A man in a green shirt and red sunglasses is standing in front of a building.
1412832223.jpg,A young girl jumping in the air.
1931690777.jpg,Four children jumping into a swimming pool.
2891943949.jpg,A woman and a child are walking down a sidewalk.
4854721418.jpg,A woman in a pink dress standing in front of a store.
3364258732.jpg,A group of people are practicing martial arts.
2590671327.jpg,Three women are jumping in the air on a beach.
244910177.jpg,A woman in a blue shirt and a woman in a blue shirt are walking down the street.
3572548523.jpg,A man and a woman are walking down a sidewalk.
3246804978.jpg,Four dogs are running in a field.
2314192527.jpg,A group of people are sitting at a table with computers.
4677835434.jpg,A woman in a red skirt and a black shirt is walking down a street.
3721604285.jpg,Two men in hard hats are working on a machine.
4645706851.jpg,A man in a striped shirt and a woman in a striped shirt are walking down the street.
4940289938.jpg,A woman is looking at a display of <unk>.
4777133573.jpg,A man and a woman walking down the street carrying flowers.
2882925081.jpg,A man in a yellow vest is standing in front of a building.
260828892.jpg,A person walking on the beach.
2925164688.jpg,Two men and a woman are running in a race.
4628366802.jpg,A man in a gray shirt is sitting on a bus.
1476241331.jpg,Two young boys are standing in front of a water fountain.
2401530530.jpg,A man in a cowboy hat rides a bucking horse.
3551447084.jpg,A man on a dirt bike is jumping over a dirt track.
4905858282.jpg,A man in a red shirt is sitting at a table with a drink.
4933367985.jpg,A man in a suit is pushing a stroller in a store.
3720930835.jpg,A group of people are sitting around a table eating.
1808007704.jpg,A man in a red shirt is jumping off a rock into a large rock.
3655092860.jpg,A couple kissing in front of a lake.
2342915028.jpg,A little girl in a pink shirt is holding a yellow toy.
4932831918.jpg,A woman in a black shirt is sitting at a table with a drink.
6157897194.jpg,A skateboarder is jumping off a blue ramp.
539744890.jpg,A boy in a blue shirt and red shorts is jumping on a playground.
4670355422.jpg,A man in a blue shirt is painting a picture of a large red wall.
3826431865.jpg,A person in a blue jacket and hat is walking up a stone path.
3178394617.jpg,A little girl is sitting in a red <unk> car.
3264464625.jpg,A girl is sliding down a water slide into a pool.
5356318668.jpg,A young boy in a blue shirt is pushing a shopping cart in a grocery store.
4499553575.jpg,People are standing on a red and yellow slide.
7058943627.jpg,A woman in a black shirt and black skirt is playing volleyball.
